doc_id	short	title_ru
K940001000_	civil_general	Гражданский кодекс (Общая часть)
K990000409_	civil_special	Гражданский кодекс (Особенная часть)
K1400000226	criminal	Уголовный кодекс
K1400000231	criminal_proc	Уголовно-процессуальный кодекс
K1400000234	criminal_exec	Уголовно-исполнительный кодекс
K1400000235	admin_offences	Кодекс об административных правонарушениях
K1500000375	entrepreneurial	Предпринимательский кодекс
K1500000377	civil_proc	Гражданский процессуальный кодекс
K1500000414	labor	Трудовой кодекс
K2000000350	admin_proc	Административный процедурно-процессуальный кодекс
K2000000360	health	Кодекс о здоровье народа и системе здравоохранения
K2100000400	ecological	Экологический кодекс
K2300000224	social	Социальный кодекс
K1100000518	marriage_family	Кодекс о браке (супружестве) и семье
K1700000123	customs	О таможенном регулировании
K1700000125	subsoil	О недрах и недропользовании
K030000442_	land	Земельный кодекс
K030000477_	forest	Лесной кодекс
K2500000171	budget	Бюджетный кодекс (2025)
K2500000178	water	Водный кодекс (2025)
K2500000214	tax_2025	Налоговый кодекс (2025)
K1700000120	tax_2017	Налоговый кодекс (2017, уходящий)
K2600000253	construction	Строительный кодекс (2026)
K2600000255	digital	Цифровой кодекс (2026)
