type	doc_id	status	title
ЗАК	Z1100000403	Новый	О внесении дополнения в Конституцию Республики Казахстан
ЗАК	Z070000254_	Новый	О внесении изменений и дополнений в Конституцию Республики Казахстан
ЗАК	Z980000284_	Новый	О внесении изменений и дополнений в Конституцию Республики Казахстан
ЗАК	Z2600000351	Исправление ошибки	О кредитной рейтинговой деятельности
ЗАК	Z2600000352	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам совершенствования и цифровизации финансового рынка, банкротства, а также оценки государственных органов
ЗАК	Z2600000347	Новый	О ратификации Протокола о внесении изменений в Соглашение о сотрудничестве государств – членов Организации Договора о коллективной безопасности в области перевозок воинских и других формирований, их движимого имущества, а также продукции военного назначения от 15 сентября 2015 года
ЗАК	Z2600000348	Новый	О ратификации Соглашения о займе (Второй заем на финансирование политики развития "Инклюзивный и устойчивый рост экономики") между Республикой Казахстан и Международным Банком Реконструкции и Развития
ЗАК	Z2600000349	Новый	О ратификации Соглашения о займе (Программа инклюзивного и устойчивого экономического роста) между Республикой Казахстан и Азиатским Банком Инфраструктурных Инвестиций
ЗАК	Z2600000350	Новый	О внесении изменений и дополнений в некоторые законодательные акты Республики Казахстан по вопросам государственного управления и местного самоуправления
ЗАК	Z2600000344	Новый	О ратификации Протокола о внесении изменений в Соглашение о статусе формирований сил и средств системы коллективной безопасности Организации Договора о коллективной безопасности от 10 декабря 2010 года
ЗАК	Z2600000345	Новый	О ратификации Соглашения между Правительством Республики Казахстан и Правительством Республики Узбекистан о совместном управлении и рациональном использовании трансграничных водных объектов
ЗАК	Z2600000346	Новый	О ратификации Протокола о внесении изменений и дополнения в Протокол к Соглашению между Правительством Республики Казахстан и Правительством Республики Узбекистан о пунктах пропуска через казахстанско-узбекскую государственную границу от 4 сентября 2006 года
ЗАК	Z2600000338	Новый	О ратификации Соглашения об экономическом партнерстве между Евразийским экономическим союзом и его государствами-членами, с одной стороны, и Объединенными Арабскими Эмиратами, с другой стороны
