doc_id	status	title
Z2600000341	Новый	Об охране почв
Z2600000335	Новый	Об обращении с радиоактивными отходами
Z2600000332	Новый	О психологической деятельности
Z2600000329	Новый	Об амнистии в связи с принятием новой Конституции Республики Казахстан
Z2600000313	Новый	О снятии оговорки и заявления Республики Казахстан к Конвенции о привилегиях и иммунитетах специализированных учреждений
Z2600000290	Обновленный	О государственной службе Республики Казахстан
Z2600000258	Обновленный	О банках и банковской деятельности в Республике Казахстан
Z2500000245	Обновленный	О профилактике правонарушений
Z2500000238	Новый	Об объемах трансфертов общего характера между республиканским и областными бюджетами, бюджетами городов республиканского значения, столицы на 2026 – 2028 годы
Z2500000239	Новый	О республиканском бюджете на 2026 – 2028 годы
Z2500000230	Обновленный	Об искусственном интеллекте
Z2500000199	Обновленный	О фондах целевого капитала и эндаумент-фондах (целевых капиталах)
Z2500000201	Обновленный	О территориальной обороне Республики Казахстан
Z2500000195	Новый	Об амнистии в связи с тридцатилетием Конституции Республики Казахстан
Z2500000193	Обновленный	Об аквакультуре
Z2500000165	Обновленный	Об особом статусе города Туркестана
Z2400000140	Обновленный	О гарантированном трансферте из Национального фонда Республики Казахстан на 2025 – 2027 годы
Z2400000141	Новый	О республиканском бюджете на 2025 – 2027 годы
Z2400000120	Обновленный	О теплоэнергетике
Z2400000110	Обновленный	О противодействии торговле людьми
Z2400000103	Обновленный	О науке и технологической политике
Z2400000106	Обновленный	О государственных закупках
Z2400000093	Обновленный	О масс-медиа
Z2400000089	Обновленный	О производстве и обороте органической продукции
Z2300000042	Обновленный	О гарантированном трансферте из Национального фонда Республики Казахстан на 2024 – 2026 годы
Z2300000043	Обновленный	О республиканском бюджете на 2024 – 2026 годы
Z2300000030	Новый	Об общественном контроле
Z2300000021	Обновленный	О возврате государству незаконно приобретенных активов
Z2300000018	Обновленный	Об онлайн-платформах и онлайн-рекламе
Z2300000016	Обновленный	О Семипалатинской зоне ядерной безопасности
Z2300000014	Обновленный	О профессиональных квалификациях
Z2300000205	Обновленный	Об органах военной полиции
Z2300000193	Обновленный	О цифровых активах в Республике Казахстан
Z2300000183	Обновленный	О растительном мире
Z2300000181	Обновленный	О развитии агломераций
Z2200000178	Обновленный	О восстановлении платежеспособности и банкротстве граждан Республики Казахстан
Z2200000172	Обновленный	О контроле специфических товаров
Z2200000166	Обновленный	О геодезии, картографии и пространственных данных
Z2200000163	Обновленный	О республиканском бюджете на 2023 – 2025 годы
Z2200000161	Новый	Об объемах трансфертов общего характера между республиканским и областными бюджетами, бюджетами городов республиканского значения, столицы на 2023 – 2025 годы
Z2200000152	Новый	Об амнистии
Z2200000122	Обновленный	О биологической безопасности Республики Казахстан
Z2100000097	Обновленный	Об ответственном обращении с животными
Z2100000086	Обновленный	О промышленной политике
Z2100000081	Новый	Об амнистии в связи с тридцатилетием Независимости Республики Казахстан
Z2100000077	Обновленный	О республиканском бюджете на 2022 – 2024 годы
Z2100000057	Обновленный	О государственной фельдъегерской связи
Z2100000047	Обновленный	О закупках отдельных субъектов квазигосударственного сектора
Z2000000396	Обновленный	О техническом регулировании
Z2000000379	Обновленный	О республиканском бюджете на 2021-2023 годы
Z2000000333	Обновленный	О порядке организации и проведения мирных собраний в Республике Казахстан
Z2000000322	Обновленный	О ветеранах
Z1900000293	Обновленный	О статусе педагога
Z1900000288	Обновленный	Об охpане и использовании объектов истоpико-культуpного наследия
Z1900000276	Обновленный	О республиканском бюджете на 2020 – 2022 годы
Z1900000242	Обновленный	О специальных экономических и индустриальных зонах
Z1900000236	Обновленный	Об оборонной промышленности и государственном оборонном заказе
Z1900000212	Обновленный	О кинематографии
Z1800000204	Обновленный	О естественных монополиях
Z1800000197	Обновленный	О республиканском бюджете на 2019 – 2021 годы
Z1800000183	Обновленный	О стандартизации
Z1800000176	Обновленный	Об адвокатской деятельности и квалифицированной юридической помощи
Z1800000178	Обновленный	О Совете Безопасности Республики Казахстан
Z1800000167	Обновленный	О валютном регулировании и валютном контроле
Z1800000169	Обновленный	О защите детей от информации, причиняющей вред их здоровью и развитию
Z1800000133	Обновленный	Об оценочной деятельности в Республике Казахстан
Z1800000131	Обновленный	О Фонде компенсации потерпевшим
Z1700000113	Обновленный	О республиканском бюджете на 2018 - 2020 годы
Z1700000062	Обновленный	О коллекторской деятельности
Z1700000047	Обновленный	О пастбищах
Z1700000044	Обновленный	О судебно-экспертной деятельности
Z1600000040	Обновленный	О дактилоскопической и геномной регистрации
Z1600000042	Обновленный	О волонтерской деятельности
Z1600000038	Обновленный	О пробации
Z1600000035	Обновленный	О контрразведывательной деятельности
Z1600000027	Новый	Об амнистии в связи с двадцатипятилетием Независимости Республики Казахстан
Z1600000025	Обновленный	О республиканском бюджете на 2017 - 2019 годы
Z1600000011	Обновленный	О платежах и платежных системах
Z1600000005	Обновленный	О приостановлении действия отдельных норм Земельного кодекса Республики Казахстан и введения в действие Закона Республики Казахстан от 2 ноября 2015 года "О внесении изменений и дополнений в Земельный кодекс Республики Казахстан"
Z1600000498	Обновленный	О почте
Z1600000495	Обновленный	О лотереях и лотерейной деятельности
Z1600000488	Обновленный	Об арбитраже
Z1600000486	Обновленный	О долевом участии в жилищном строительстве
Z1600000480	Обновленный	О правовых актах
Z1600000444	Обновленный	О драгоценных металлах и драгоценных камнях
Z1600000442	Обновленный	Об использовании атомной энергии
Z1500000436	Обновленный	О Высшем Судебном Совете Республики Казахстан
Z1500000426	Обновленный	О республиканском бюджете на 2016-2018 годы
Z1500000418	Обновленный	О кибербезопасности
Z1500000410	Обновленный	О противодействии коррупции
Z1500000401	Обновленный	О доступе к информации
Z1500000402	Обновленный	О благотворительности
Z1500000405	Обновленный	Об обязательном социальном медицинском страховании
Z1500000392	Обновленный	О государственном аудите и финансовом контроле
Z1500000390	Обновленный	О саморегулировании
Z1500000383	Обновленный	Об общественных советах
Z1500000379	Обновленный	О государственно-частном партнерстве
Z1500000372	Обновленный	О сельскохозяйственных кооперативах
Z1500000320	Обновленный	О миротворческой деятельности Республики Казахстан
Z1500000316	Обновленный	О специальных защитных, антидемпинговых и компенсационных мерах по отношению к третьим странам
Z1500000314	Обновленный	О минимальных социальных стандартах и их гарантиях
Z1500000285	Обновленный	О государственной молодежной политике
Z1500000274	Обновленный	О Национальной гвардии Республики Казахстан
Z1400000263	Обновленный	Об официальной помощи развитию
Z1400000259	Обновленный	О республиканском бюджете на 2015-2017 годы
Z1400000228	Обновленный	О физической культуре и спорте
Z1400000213	Обновленный	Об амнистии граждан Республики Казахстан, оралманов и лиц, имеющих вид на жительство в Республике Казахстан, в связи с легализацией ими имущества
Z1400000211	Обновленный	О профессиональных союзах
Z1400000207	Обновленный	Об инновационном кластере "Астана Хаб
Z1400000202	Обновленный	О разрешениях и уведомлениях
Z1400000199	Обновленный	Об органах внутренних дел Республики Казахстан
Z1400000194	Обновленный	О дорожном движении
Z1400000188	Обновленный	О гражданской защите
Z1400000176	Обновленный	О реабилитации и банкротстве
Z1300000148	Обновленный	О республиканском бюджете на 2014 - 2016 годы
Z1300000149	Новый	Об объемах трансфертов общего характера между республиканским и областными бюджетами, бюджетами города республиканского значения, столицы на 2014-2016 годы
Z1300000129	Обновленный	О Национальной палате предпринимателей Республики Казахстан
Z1300000094	Обновленный	О персональных данных и их защите
Z1300000088	Обновленный	О государственных и социально ответственных услугах
Z1300000073	Обновленный	О документах, удостоверяющих личность
Z1300000070	Обновленный	О Государственной границе Республики Казахстан
Z1300000067	Обновленный	О Государственной образовательной накопительной системе
Z1200000056	Обновленный	О микрофинансовой деятельности
Z1200000054	Обновленный	О республиканском бюджете на 2013-2015 годы
Z1200000020	Обновленный	О магистральном трубопроводе
Z1200000561	Обновленный	О воинской службе и статусе военнослужащих
Z1200000552	Обновленный	О специальных государственных органах Республики Казахстан
Z1200000550	Обновленный	О Фонде национального благосостояния
Z1200000541	Обновленный	Об энергосбережении и повышении энергоэффективности
Z1200000532	Обновленный	О газе и газоснабжении
Z1200000527	Обновленный	О национальной безопасности Республики Казахстан
Z1200000528	Обновленный	О космической деятельности
Z1100000521	Новый	Об амнистии в связи с двадцатилетием государственной независимости Республики Казахстан
Z1100000496	Обновленный	О республиканском бюджете на 2012 - 2014 годы
Z1100000483	Обновленный	О религиозной деятельности и религиозных объединениях
Z1100000477	Обновленный	О миграции населения
Z1100000463	Обновленный	О государственном регулировании производства и оборота отдельных видов нефтепродуктов
Z1100000413	Обновленный	О государственном имуществе
Z1100000401	Обновленный	О медиации
Z1100000394	Обновленный	О статусе "Назарбаев Университет", "Назарбаев Интеллектуальные школы" и "Назарбаев Фонд"
Z1100000380	Обновленный	О правоохранительной службе
Z1000000357	Обновленный	О республиканском бюджете на 2011 - 2013 годы
Z1000000351	Обновленный	О государственном регулировании производства и оборота биотоплива
Z100000277_	Обновленный	О внешней разведке
Z100000274_	Обновленный	О защите прав потребителей
Z100000261_	Обновленный	Об исполнительном производстве и статусе судебных исполнителей
Z100000257_	Обновленный	О государственной статистике
Z090000223_	Обновленный	О государственных гарантиях равных прав и равных возможностей мужчин и женщин
Z090000219_	Обновленный	О республиканском бюджете на 2010 - 2012 годы
Z090000216_	Обновленный	О беженцах
Z090000191_	Обновленный	О противодействии легализации (отмыванию) доходов, полученных преступным путем, финансированию терроризма и финансированию распространения оружия массового уничтожения
Z090000165_	Обновленный	О поддержке использования возобновляемых источников энергии
Z090000155_	Обновленный	О товарных биржах
Z080000096_	Обновленный	О республиканском бюджете на 2009-2011 годы
Z080000061_	Обновленный	Об аккредитации в области оценки соответствия
Z080000067_	Обновленный	О трансфертном ценообразовании
Z070000008_	Обновленный	О республиканском бюджете на 2008 год
Z070000005_	Новый	Об объемах трансфертов общего характера между республиканским и областными бюджетами, бюджетами города республиканского значения, столицы на 2008-2010 годы
Z070000319_	Обновленный	Об образовании
Z070000310_	Обновленный	О государственной регистрации прав на недвижимое имущество
Z070000301_	Обновленный	О безопасности пищевой продукции
Z070000302_	Обновленный	О безопасности химической продукции
Z070000305_	Обновленный	О безопасности машин и оборудования
Z070000306_	Обновленный	О безопасности игрушек
Z070000300_	Обновленный	Об экспортном контроле
Z070000234_	Обновленный	О бухгалтерском учете и финансовой отчетности
Z070000219_	Обновленный	Об игорном бизнесе
Z070000223_	Обновленный	О национальных реестрах идентификационных номеров
Z060000207_	Обновленный	О культуре
Z060000194_	Обновленный	О республиканском бюджете на 2007 год
Z060000189_	Обновленный	О гарантированном трансферте из Национального фонда Республики Казахстан на 2007-2009 годы
Z060000175_	Обновленный	Об особо охраняемых природных территориях
